ISIN;CH0049613687;;;CH0049613901;CH0100517157;CH0100484986
SYMBOL;SARON;;;SCRON;SAION;SCION
NAME;Swiss Average Rate ON;;;Swiss Current Rate ON;SARON Index;Swiss Current Index ON
Date;Close;Fixing 12:00;Fixing 16:00;Close;Close;Close;Rate Volume;Trade Volume
12.06.2024; 1.454286; 1.462142; 1.462254; 1.410000; 10997.978033; 10958.750694; 19118800000; 15100000000
11.06.2024; 1.457456; 1.461848; 1.459647; 1.430000; 10997.532799; 10958.315405; 18610035716; 12613000000
10.06.2024; 1.454816; 1.462586; 1.462010; 1.430000; 10997.088390; 10957.880134; 22474138095; 16605000000
07.06.2024; 1.452103; 1.461585; 1.460443; 1.410000; 10995.757809; 10956.592734; 21504100000; 17765000000
06.06.2024; 1.453696; 1.457312; 1.457622; 1.430000; 10995.313813; 10956.157531; 18030683333; 13046000000
05.06.2024; 1.453866; 1.456897; 1.457076; 1.430000; 10994.869783; 10955.722345; 17107898809; 13013000000
04.06.2024; 1.453137; 1.457473; 1.456009; 1.430000; 10994.425994; 10955.287177; 21987051187; 16038000000
03.06.2024; 1.450980; 1.458136; 1.456417; 1.410000; 10993.982882; 10954.858112; 25329164286; 19203000000
31.05.2024; 1.450122; 1.457978; 1.453580; 1.430000; 10992.654491; 10953.552814; 20258980951; 12509000000
30.05.2024; 1.452758; 1.458116; 1.457047; 1.430000; 10992.210907; 10953.117732; 17795676192; 12575000000
29.05.2024; 1.454613; 1.458404; 1.458679; 1.410000; 10991.766775; 10952.688752; 20399419050; 12709000000
28.05.2024; 1.451265; 1.456940; 1.454438; 1.430000; 10991.323683; 10952.253704; 21857073810; 17214000000
27.05.2024; 1.451538; 1.458612; 1.456691; 1.430000; 10990.880525; 10951.818673; 23836666669; 17419000000
24.05.2024; 1.455883; 1.462435; 1.461341; 1.410000; 10989.547234; 10950.531985; 20600616668; 14305000000
23.05.2024; 1.454432; 1.460299; 1.459648; 1.430000; 10989.103264; 10950.097023; 20241797619; 14456000000
22.05.2024; 1.458429; 1.459260; 1.460353; 1.460000; 10988.658092; 10949.652954; 18220433334; 13116000000
21.05.2024; 1.456992; 1.457354; 1.459865; 1.430000; 10988.213377; 10949.218027; 19282990477; 13944000000
17.05.2024; 1.456056; 1.457846; 1.458627; 1.450000; 10986.435947; 10947.454270; 21208952381; 13095000000
16.05.2024; 1.455802; 1.459189; 1.458774; 1.410000; 10985.991685; 10947.025511; 19590247621; 13557000000
15.05.2024; 1.453954; 1.457886; 1.457560; 1.450000; 10985.548005; 10946.584607; 21551740475; 15181000000
14.05.2024; 1.449836; 1.456918; 1.455703; 1.430000; 10985.105599; 10946.149802; 21954697619; 15729000000
13.05.2024; 1.450828; 1.456400; 1.454063; 1.410000; 10984.662909; 10945.721095; 27048492857; 18721000000
10.05.2024; 1.452282; 1.455881; 1.455816; 1.430000; 10983.333668; 10944.416885; 21249246827; 14378000000
08.05.2024; 1.454081; 1.459765; 1.459955; 1.432500; 10982.446481; 10943.545961; 18575983331; 12713000000
07.05.2024; 1.445300; 1.445200; 1.446715; 1.430000; 10982.005584; 10943.111276; 18507355954; 11422000000
06.05.2024; 1.435355; 1.437546; 1.436435; 1.410000; 10981.567738; 10942.682688; 22266248808; 14515000000
03.05.2024; 1.426044; 1.429874; 1.426990; 1.420000; 10980.262877; 10941.387957; 27653855954; 16331000000
02.05.2024; 1.437733; 1.451849; 1.446754; 1.405000; 10979.824375; 10940.960956; 36082240475; 23246000000
30.04.2024; 1.444518; 1.448809; 1.447270; 1.410000; 10978.943304; 10940.103981; 25501666668; 19035000000
29.04.2024; 1.449736; 1.452477; 1.452716; 1.430000; 10978.501195; 10939.669433; 22909916667; 19254000000
26.04.2024; 1.450566; 1.451569; 1.452753; 1.450000; 10977.174269; 10938.347716; 23580511905; 18935000000
25.04.2024; 1.445272; 1.448227; 1.447943; 1.450000; 10976.733592; 10937.907161; 20320239286; 15753000000
24.04.2024; 1.444651; 1.446882; 1.446504; 1.410000; 10976.293122; 10937.478776; 23588666667; 18852000000
23.04.2024; 1.442898; 1.448300; 1.446685; 1.410000; 10975.853204; 10937.050408; 24871745241; 18850000000
22.04.2024; 1.442760; 1.448377; 1.445000; 1.430000; 10975.413346; 10936.615981; 25600328571; 19059000000
19.04.2024; 1.442328; 1.448479; 1.445405; 1.430000; 10974.094326; 10935.312856; 25952159523; 19457000000
18.04.2024; 1.442089; 1.449517; 1.445790; 1.430000; 10973.654743; 10934.878498; 26770904761; 20239000000
17.04.2024; 1.447330; 1.454618; 1.450698; 1.430000; 10973.213580; 10934.444158; 23726300000; 17252000000
16.04.2024; 1.449709; 1.457118; 1.453981; 1.430000; 10972.771710; 10934.009835; 24137773811; 18113000000
15.04.2024; 1.451120; 1.460124; 1.457712; 1.430000; 10972.329428; 10933.575529; 22399500000; 17298000000
12.04.2024; 1.453258; 1.460889; 1.457211; 1.430000; 10971.000787; 10932.272767; 24100313095; 16506000000
11.04.2024; 1.455746; 1.463245; 1.461159; 1.410000; 10970.557166; 10931.844603; 22946442858; 16120000000
10.04.2024; 1.458120; 1.465570; 1.464045; 1.410000; 10970.112840; 10931.416456; 19773105157; 14260000000
09.04.2024; 1.458350; 1.467118; 1.462972; 1.430000; 10969.668462; 10930.982253; 22018261904; 15994000000
08.04.2024; 1.457619; 1.467524; 1.464009; 1.410000; 10969.224325; 10930.554140; 25052683732; 17408000000
05.04.2024; 1.457959; 1.468722; 1.466950; 1.450000; 10967.891764; 10929.233524; 27199614287; 20180000000
04.04.2024; 1.459122; 1.467521; 1.465642; 1.430000; 10967.447241; 10928.799408; 21441244047; 15556000000
03.04.2024; 1.460285; 1.466951; 1.466408; 1.410000; 10967.002381; 10928.371380; 20193138888; 14254000000
02.04.2024; 1.456716; 1.465534; 1.464464; 1.410000; 10966.558627; 10927.943369; 23248017461; 15618000000
28.03.2024; 1.464207; 1.476081; 1.475582; 1.410000; 10964.328898; 10925.803732; 14698161904; 8731000000
27.03.2024; 1.458166; 1.459663; 1.462482; 1.430000; 10963.884810; 10925.369752; 17751539685; 11845000000
26.03.2024; 1.454520; 1.457778; 1.458178; 1.430000; 10963.441850; 10924.935789; 18173452777; 12721000000
25.03.2024; 1.454148; 1.457648; 1.457165; 1.430000; 10962.999022; 10924.501844; 21718343255; 15659000000
22.03.2024; 1.447580; 1.453050; 1.450851; 1.430000; 10961.676697; 10923.200163; 26179297617; 18033000000
21.03.2024; 1.691800; 1.699297; 1.695494; 1.680000; 10961.161583; 10922.690437; 26778294046; 20030000000
20.03.2024; 1.693594; 1.702677; 1.698213; 1.680000; 10960.645947; 10922.180735; 30675877776; 20594000000
19.03.2024; 1.695934; 1.703267; 1.700108; 1.660000; 10960.129623; 10921.677124; 25223169047; 17156000000
18.03.2024; 1.696503; 1.704769; 1.703398; 1.680000; 10959.613150; 10921.167470; 24422283732; 18211000000
15.03.2024; 1.697469; 1.702857; 1.700379; 1.680000; 10958.063069; 10919.638721; 26034217461; 16849000000
14.03.2024; 1.696295; 1.704278; 1.701516; 1.660000; 10957.546757; 10919.135228; 23727411906; 17973000000
13.03.2024; 1.699560; 1.704040; 1.703232; 1.680000; 10957.029476; 10918.625692; 22235841273; 15550000000
12.03.2024; 1.698228; 1.704887; 1.704537; 1.660000; 10956.512624; 10918.122245; 19211373808; 15273000000
11.03.2024; 1.699708; 1.703445; 1.704051; 1.680000; 10955.995346; 10917.612756; 17936421430; 14052000000
08.03.2024; 1.701244; 1.704975; 1.704075; 1.705000; 10954.442331; 10916.061766; 18707222617; 11181000000
07.03.2024; 1.695992; 1.701430; 1.700572; 1.660000; 10953.926282; 10915.558437; 20061839285; 15441000000
06.03.2024; 1.694277; 1.699433; 1.698630; 1.680000; 10953.410779; 10915.049068; 21767723812; 16699000000
05.03.2024; 1.695347; 1.701481; 1.700629; 1.680000; 10952.894975; 10914.539723; 20674039284; 14892000000
04.03.2024; 1.695789; 1.701547; 1.699592; 1.680000; 10952.379060; 10914.030402; 19427682144; 14154000000
01.03.2024; 1.694055; 1.700746; 1.698978; 1.660000; 10950.833117; 10912.520837; 23361916667; 17231000000
29.02.2024; 1.697838; 1.702122; 1.701722; 1.660000; 10950.316676; 10912.017672; 14396285715; 11579000000
28.02.2024; 1.694525; 1.701469; 1.697500; 1.660000; 10949.801267; 10911.514530; 18243861902; 13954000000
27.02.2024; 1.694975; 1.698161; 1.698134; 1.660000; 10949.285746; 10911.011411; 21037630952; 14518000000
26.02.2024; 1.696172; 1.698936; 1.698325; 1.680000; 10948.769885; 10910.502254; 23375195240; 15210000000
23.02.2024; 1.692184; 1.697010; 1.695938; 1.660000; 10947.226158; 10908.993177; 24121566667; 15931000000
22.02.2024; 1.692129; 1.697714; 1.695383; 1.660000; 10946.711623; 10908.490174; 19971400000; 15313000000
21.02.2024; 1.693673; 1.698289; 1.697998; 1.680000; 10946.196643; 10907.981135; 23364992856; 17453000000
20.02.2024; 1.691227; 1.696855; 1.693326; 1.660000; 10945.682431; 10907.478179; 28064942856; 19364000000
19.02.2024; 1.693803; 1.698346; 1.698042; 1.680000; 10945.167460; 10906.969187; 22069630954; 16538000000
16.02.2024; 1.693807; 1.697018; 1.696803; 1.695000; 10943.622761; 10905.428795; 21623661907; 15916000000
15.02.2024; 1.692718; 1.695017; 1.695292; 1.660000; 10943.108217; 10904.925957; 19499866667; 15386000000
14.02.2024; 1.691751; 1.694270; 1.694002; 1.680000; 10942.593991; 10904.417084; 22650692857; 16887000000
13.02.2024; 1.690615; 1.693974; 1.693259; 1.680000; 10942.080134; 10903.908235; 21820666667; 17863000000
12.02.2024; 1.692736; 1.694624; 1.693934; 1.660000; 10941.565657; 10903.405467; 20760261905; 15830000000
09.02.2024; 1.691830; 1.695198; 1.695318; 1.660000; 10940.023269; 10901.897371; 22911480954; 16608000000
08.02.2024; 1.688498; 1.690102; 1.689728; 1.680000; 10939.510176; 10901.388640; 23576047620; 15612000000
07.02.2024; 1.689922; 1.693640; 1.692889; 1.660000; 10938.996675; 10900.885988; 23461214286; 17736000000
06.02.2024; 1.688387; 1.692952; 1.691513; 1.680000; 10938.483664; 10900.377304; 23897930954; 17861000000
05.02.2024; 1.687931; 1.694602; 1.691727; 1.660000; 10937.970816; 10899.874699; 25283517857; 21032000000
02.02.2024; 1.688292; 1.693266; 1.691377; 1.660000; 10936.432158; 10898.367092; 30792803572; 24884000000
01.02.2024; 1.694949; 1.703586; 1.700309; 1.680000; 10935.917274; 10897.858525; 29987190479; 25686000000
31.01.2024; 1.698236; 1.703649; 1.702999; 1.690000; 10935.401416; 10897.346955; 22827090080; 17648000000
30.01.2024; 1.698356; 1.703905; 1.703343; 1.690000; 10934.885546; 10896.835409; 21639697618; 17394000000
29.01.2024; 1.699185; 1.702809; 1.702181; 1.690000; 10934.369448; 10896.323887; 20774583333; 15311000000
26.01.2024; 1.697123; 1.702555; 1.702607; 1.660000; 10932.823253; 10894.816771; 20422600000; 16205000000
25.01.2024; 1.696522; 1.699005; 1.699256; 1.690000; 10932.308061; 10894.305344; 17524280953; 11585000000
24.01.2024; 1.695670; 1.696259; 1.698042; 1.690000; 10931.793152; 10893.793941; 21613700000; 13810000000
23.01.2024; 1.693011; 1.695768; 1.695168; 1.690000; 10931.279075; 10893.282562; 19220166667; 15565000000
22.01.2024; 1.692735; 1.695814; 1.695052; 1.690000; 10930.765106; 10892.771207; 19549300001; 15191000000
19.01.2024; 1.692545; 1.695073; 1.695202; 1.690000; 10929.223589; 10891.237358; 21062073810; 15343000000
18.01.2024; 1.688876; 1.693018; 1.693424; 1.660000; 10928.710888; 10890.735174; 20804714285; 16857000000
17.01.2024; 1.686621; 1.688632; 1.688517; 1.680000; 10928.198896; 10890.226963; 20878440476; 16434000000
16.01.2024; 1.686876; 1.691157; 1.688776; 1.680000; 10927.686850; 10889.718776; 24603576190; 18183000000
15.01.2024; 1.688880; 1.693177; 1.692121; 1.660000; 10927.174220; 10889.216662; 23813200000; 21443000000
12.01.2024; 1.690244; 1.693820; 1.692197; 1.690000; 10925.635304; 10887.683313; 22356000000; 20901000000
11.01.2024; 1.691429; 1.693727; 1.693584; 1.690000; 10925.121997; 10887.172221; 21854000000; 18331000000
10.01.2024; 1.689353; 1.693134; 1.693012; 1.660000; 10924.609344; 10886.670225; 23955673811; 20447000000
09.01.2024; 1.688941; 1.694692; 1.691668; 1.680000; 10924.096840; 10886.162204; 23997040477; 17983000000
08.01.2024; 1.690512; 1.696936; 1.694887; 1.680000; 10923.583883; 10885.654207; 27744745241; 21774000000
05.01.2024; 1.686726; 1.690899; 1.689158; 1.660000; 10922.048674; 10884.148566; 29514338097; 21999000000
04.01.2024; 1.690338; 1.698340; 1.693642; 1.660000; 10921.535866; 10883.646709; 29556121036; 23526000000
03.01.2024; 1.694779; 1.701823; 1.698910; 1.680000; 10921.021735; 10883.138829; 29845869048; 23271000000
29.12.2023; 1.695237; 1.707116; 1.697517; 1.660000; 10918.450990; 10880.630239; 18062519047; 11091000000
28.12.2023; 1.701880; 1.706928; 1.705945; 1.690000; 10917.934851; 10880.119478; 19033900000; 13395000000
27.12.2023; 1.701535; 1.707819; 1.706685; 1.690000; 10917.418841; 10879.608741; 18030816666; 13866000000
22.12.2023; 1.704054; 1.705761; 1.705451; 1.690000; 10914.835581; 10877.055654; 17963999999; 12555000000
21.12.2023; 1.702508; 1.706903; 1.706427; 1.690000; 10914.319422; 10876.545061; 17082595238; 12567000000
20.12.2023; 1.701433; 1.704403; 1.704744; 1.690000; 10913.803614; 10876.034492; 19653966668; 14081000000
19.12.2023; 1.699231; 1.704629; 1.703745; 1.660000; 10913.288497; 10875.533009; 22099150000; 16233000000
18.12.2023; 1.700771; 1.706054; 1.704842; 1.690000; 10912.772938; 10875.022487; 21657333335; 15297000000
15.12.2023; 1.699106; 1.705345; 1.704416; 1.660000; 10911.227994; 10873.518317; 20240733333; 15800000000
14.12.2023; 1.700780; 1.702578; 1.703504; 1.660000; 10910.712530; 10873.016950; 19288183333; 13425000000
13.12.2023; 1.701327; 1.704661; 1.704062; 1.700000; 10910.196924; 10872.503526; 20019166666; 13701000000
12.12.2023; 1.700559; 1.704322; 1.703956; 1.690000; 10909.681575; 10871.993146; 21713400000; 16225000000
11.12.2023; 1.700407; 1.705441; 1.704662; 1.700000; 10909.166297; 10871.479771; 21976450000; 15321000000
08.12.2023; 1.699898; 1.700869; 1.702157; 1.690000; 10907.621143; 10869.948920; 20923100000; 15216000000
07.12.2023; 1.695332; 1.698558; 1.697725; 1.690000; 10907.107499; 10869.438660; 22471466668; 17151000000
06.12.2023; 1.693650; 1.699571; 1.695819; 1.680000; 10906.594389; 10868.931443; 23858666666; 17003000000
05.12.2023; 1.691936; 1.696907; 1.694871; 1.680000; 10906.081823; 10868.424250; 23644380954; 17871000000
04.12.2023; 1.696895; 1.702225; 1.699630; 1.660000; 10905.567778; 10867.923118; 23925514287; 19376000000
01.12.2023; 1.699033; 1.705402; 1.703522; 1.720000; 10904.023920; 10866.365606; 24542333333; 18886000000
30.11.2023; 1.701526; 1.707562; 1.706226; 1.690000; 10903.508570; 10865.855514; 18365754765; 13151000000
29.11.2023; 1.704445; 1.707662; 1.707218; 1.660000; 10902.992360; 10865.354500; 18038519048; 12866000000
28.11.2023; 1.703549; 1.706941; 1.707588; 1.690000; 10902.476446; 10864.844456; 17695123812; 12558000000
27.11.2023; 1.704673; 1.707708; 1.707319; 1.690000; 10901.960216; 10864.334436; 15839380953; 10705000000
24.11.2023; 1.704387; 1.707610; 1.707863; 1.660000; 10900.412006; 10862.831744; 13831490476; 9506000000
23.11.2023; 1.702570; 1.706550; 1.706209; 1.690000; 10899.896511; 10862.321818; 13068523810; 9487000000
22.11.2023; 1.701947; 1.702346; 1.704596; 1.690000; 10899.381229; 10861.811916; 14743666667; 11156000000
21.11.2023; 1.702206; 1.702962; 1.705146; 1.690000; 10898.865892; 10861.302038; 17589616666; 12737000000
20.11.2023; 1.699253; 1.703067; 1.702455; 1.690000; 10898.351474; 10860.792184; 17748866667; 14275000000
17.11.2023; 1.699685; 1.704001; 1.703062; 1.690000; 10896.808046; 10859.262838; 18158300001; 14749000000
16.11.2023; 1.699330; 1.702600; 1.702020; 1.690000; 10896.293702; 10858.753080; 18430600000; 14594000000
15.11.2023; 1.700458; 1.703730; 1.703035; 1.690000; 10895.779040; 10858.243346; 17157900001; 13854000000
14.11.2023; 1.700049; 1.703458; 1.702839; 1.690000; 10895.264527; 10857.733636; 17749433334; 13642000000
13.11.2023; 1.700720; 1.705103; 1.703498; 1.690000; 10894.749835; 10857.223950; 16557000001; 13636000000
10.11.2023; 1.701457; 1.704285; 1.703943; 1.690000; 10893.205308; 10855.695106; 21429990475; 14835000000
09.11.2023; 1.701080; 1.705270; 1.704408; 1.690000; 10892.690604; 10855.185515; 19308361904; 14531000000
08.11.2023; 1.701010; 1.706077; 1.704983; 1.690000; 10892.175946; 10854.675948; 19826133333; 14651000000
07.11.2023; 1.701979; 1.706060; 1.705930; 1.690000; 10891.661019; 10854.166405; 16803754762; 12264000000
06.11.2023; 1.701759; 1.705557; 1.705275; 1.690000; 10891.146183; 10853.656886; 18247145240; 13279000000
03.11.2023; 1.701846; 1.707930; 1.706843; 1.700000; 10889.601814; 10852.119502; 17386433335; 13589000000
02.11.2023; 1.702371; 1.707359; 1.706156; 1.690000; 10889.086890; 10851.610079; 18626757144; 13823000000
01.11.2023; 1.702131; 1.708954; 1.707850; 1.690000; 10888.572063; 10851.100680; 17804952380; 13368000000
31.10.2023; 1.704967; 1.708031; 1.708609; 1.690000; 10888.056403; 10850.591305; 19765947620; 13051000000
30.10.2023; 1.702119; 1.705210; 1.705172; 1.690000; 10887.541628; 10850.081954; 15337433334; 11171000000
27.10.2023; 1.699679; 1.703703; 1.701977; 1.690000; 10885.999736; 10848.554116; 17269999999; 13761000000
26.10.2023; 1.697465; 1.703564; 1.701421; 1.690000; 10885.486466; 10848.044861; 18474866666; 15383000000
25.10.2023; 1.697237; 1.699900; 1.700193; 1.690000; 10884.973289; 10847.535629; 17823833333; 14071000000
24.10.2023; 1.698161; 1.703557; 1.701669; 1.670000; 10884.459857; 10847.032447; 19347883333; 15338000000
23.10.2023; 1.701569; 1.705523; 1.705093; 1.690000; 10883.945419; 10846.523263; 17338302383; 12891000000
20.10.2023; 1.701336; 1.705005; 1.704485; 1.700000; 10882.402534; 10844.986890; 15283315475; 12058000000
19.10.2023; 1.698968; 1.703553; 1.702655; 1.690000; 10881.888979; 10844.477802; 18958684524; 14704000000
18.10.2023; 1.699536; 1.702998; 1.702230; 1.690000; 10881.375277; 10843.968738; 18310250000; 13606000000
17.10.2023; 1.700310; 1.703264; 1.702381; 1.690000; 10880.861365; 10843.459698; 16320716667; 13129000000
16.10.2023; 1.701693; 1.704955; 1.703971; 1.690000; 10880.347059; 10842.950682; 17456971431; 13113000000
13.10.2023; 1.701540; 1.705483; 1.704346; 1.700000; 10878.804499; 10841.414815; 16096797620; 12325000000
