date	rate
1999-06-30	2.500000
1999-07-01	0.730000
1999-07-02	0.700000
1999-07-05	0.731828
1999-07-06	0.731828
1999-07-07	0.750000
1999-07-08	0.750000
1999-07-09	0.750000
1999-07-12	0.750000
1999-07-13	0.492308
1999-07-14	0.575410
1999-07-15	0.611538
1999-07-16	0.611538
1999-07-19	0.550000
1999-07-20	0.550000
1999-07-21	0.450000
1999-07-22	0.450000
1999-07-23	0.550000
1999-07-26	0.550000
1999-07-27	0.550000
1999-07-28	0.550000
1999-07-29	0.650000
1999-07-30	0.650000
1999-08-02	0.750000
1999-08-03	0.600000
1999-08-04	0.700000
1999-08-05	0.550000
1999-08-06	0.550000
1999-08-09	0.600000
1999-08-10	0.565625
1999-08-11	0.400000
1999-08-12	0.500000
1999-08-13	0.695455
1999-08-16	0.450000
1999-08-17	0.570000
1999-08-18	0.814286
1999-08-19	0.830000
1999-08-20	0.868212
1999-08-23	0.781707
1999-08-24	0.634444
1999-08-25	0.380000
1999-08-26	0.573411
1999-08-27	0.589743
1999-08-30	0.680000
1999-08-31	0.662654
1999-09-01	0.583846
1999-09-02	0.522973
1999-09-03	0.552500
1999-09-06	0.595674
1999-09-07	0.614545
1999-09-08	0.571429
1999-09-09	0.571429
1999-09-10	0.705634
1999-09-13	0.700000
1999-09-14	0.700000
1999-09-15	0.880000
1999-09-16	0.950000
1999-09-17	0.960000
1999-09-20	1.000000
1999-09-21	0.999661
1999-09-22	0.999661
1999-09-23	0.830000
1999-09-24	0.809444
1999-09-27	0.863889
1999-09-28	1.000000
1999-09-29	0.960000
1999-09-30	1.603778
1999-10-01	1.000000
1999-10-04	1.144043
1999-10-05	1.098039
1999-10-06	1.050000
1999-10-07	0.981389
1999-10-08	0.995455
1999-10-11	0.993478
1999-10-12	0.950000
1999-10-13	0.994286
1999-10-14	0.900000
1999-10-15	0.740000
1999-10-18	0.840000
1999-10-19	0.800000
1999-10-20	0.800000
1999-10-21	0.740000
1999-10-22	0.687698
1999-10-25	0.663542
1999-10-26	0.738327
1999-10-27	0.783333
1999-10-28	0.644214
1999-10-29	0.823193
1999-11-01	0.875049
1999-11-02	0.900000
1999-11-03	0.892881
1999-11-04	0.855770
1999-11-05	0.956851
1999-11-08	0.801325
1999-11-09	0.797284
1999-11-10	0.775289
1999-11-11	0.765000
1999-11-12	0.894326
1999-11-15	0.937719
1999-11-16	0.964697
1999-11-17	1.106407
1999-11-18	1.272648
1999-11-19	1.260000
1999-11-22	1.272018
1999-11-23	1.283299
1999-11-24	1.084893
1999-11-25	0.896712
1999-11-26	0.811650
1999-11-29	0.938912
1999-11-30	1.078627
1999-12-01	1.017351
1999-12-02	1.000976
1999-12-03	1.046040
1999-12-06	0.962401
1999-12-07	0.952823
1999-12-08	0.971018
1999-12-09	0.931263
1999-12-10	0.871698
1999-12-13	0.415539
1999-12-14	0.753545
1999-12-15	0.948725
1999-12-16	1.068093
1999-12-17	0.963251
1999-12-20	1.003108
1999-12-21	1.067860
1999-12-22	1.075309
1999-12-23	0.988468
1999-12-24	0.836734
1999-12-27	0.886736
1999-12-28	0.820183
1999-12-29	0.376906
1999-12-30	1.437788
1999-12-31	1.437788
2000-01-03	1.437788
2000-01-04	0.714965
2000-01-05	0.666779
2000-01-06	0.654473
2000-01-07	0.787328
2000-01-10	0.807924
2000-01-11	0.439189
2000-01-12	0.412385
2000-01-13	0.408225
2000-01-14	0.500000
2000-01-17	1.201578
2000-01-18	1.288376
2000-01-19	1.206799
2000-01-20	1.207697
2000-01-21	1.393569
2000-01-24	1.482966
2000-01-25	1.512117
2000-01-26	1.433836
2000-01-27	1.481257
2000-01-28	1.674618
2000-01-31	2.280000
2000-02-01	1.898438
2000-02-02	1.708037
2000-02-03	1.699197
2000-02-04	1.885291
2000-02-07	1.948142
2000-02-08	1.901799
2000-02-09	1.835154
2000-02-10	1.903148
2000-02-11	1.878352
2000-02-14	1.956036
2000-02-15	2.084010
2000-02-16	2.243022
2000-02-17	1.859453
2000-02-18	1.873253
2000-02-21	1.626229
2000-02-22	1.460989
2000-02-23	1.506610
2000-02-24	1.530067
2000-02-25	1.643544
2000-02-28	1.389125
2000-02-29	1.342026
2000-03-01	1.479888
2000-03-02	0.983304
2000-03-03	1.124212
2000-03-06	0.772222
2000-03-07	0.695122
2000-03-08	0.694001
2000-03-09	0.675625
2000-03-10	1.530483
2000-03-13	1.620521
2000-03-14	1.549306
2000-03-15	1.607425
2000-03-16	0.969444
2000-03-17	0.958140
2000-03-20	1.105663
2000-03-21	0.897414
2000-03-22	0.967721
2000-03-23	1.625319
2000-03-24	1.973269
2000-03-27	2.292875
2000-03-28	2.371690
2000-03-29	2.558929
2000-03-30	2.242131
2000-03-31	2.361749
2000-04-03	2.540488
2000-04-04	2.483843
2000-04-05	2.223395
2000-04-06	2.007598
2000-04-07	1.893355
2000-04-10	2.073104
2000-04-11	2.484486
2000-04-12	2.493637
2000-04-13	2.449668
2000-04-14	2.329297
2000-04-17	2.384777
2000-04-18	2.591317
2000-04-19	2.705084
2000-04-20	2.715108
2000-04-25	2.692965
2000-04-26	2.742060
2000-04-27	2.700000
2000-04-28	2.547827
2000-05-02	2.651391
2000-05-03	2.530104
2000-05-04	2.475134
2000-05-05	1.781500
2000-05-08	1.588889
2000-05-09	1.776359
2000-05-10	1.996787
2000-05-11	2.416000
2000-05-12	2.180146
2000-05-15	1.664674
2000-05-16	1.671936
2000-05-17	1.738637
2000-05-18	1.705424
2000-05-19	1.213415
2000-05-22	1.593466
2000-05-23	1.579630
2000-05-24	1.573092
2000-05-25	1.951052
2000-05-26	2.053662
2000-05-29	2.130790
2000-05-30	2.201992
2000-05-31	3.047974
2000-06-02	2.314547
2000-06-05	2.553094
2000-06-06	2.625107
2000-06-07	2.410891
2000-06-08	2.460000
2000-06-09	2.425044
2000-06-13	2.450185
2000-06-14	2.402941
2000-06-15	2.612383
2000-06-16	2.587357
2000-06-19	2.744341
2000-06-20	2.816060
2000-06-21	3.069956
2000-06-22	3.122718
2000-06-23	3.043630
2000-06-26	2.946251
2000-06-27	2.858770
2000-06-28	2.815601
2000-06-29	2.875806
2000-06-30	3.054887
2000-07-03	2.958875
2000-07-04	2.913708
2000-07-05	2.835484
2000-07-06	2.975427
2000-07-07	2.986327
2000-07-10	3.067712
2000-07-11	3.102404
2000-07-12	3.041537
2000-07-13	3.140827
2000-07-14	3.096781
2000-07-17	2.964339
2000-07-18	2.872953
2000-07-19	2.650688
2000-07-20	2.570714
2000-07-21	2.287425
2000-07-24	2.495077
2000-07-25	2.880392
2000-07-26	2.862463
2000-07-27	2.823220
2000-07-28	2.488813
2000-07-31	2.778948
2000-08-02	2.753639
2000-08-03	2.959441
2000-08-04	2.689464
2000-08-07	2.731352
2000-08-08	2.736656
2000-08-09	2.779089
2000-08-10	2.715623
2000-08-11	2.668584
2000-08-14	2.645733
2000-08-15	2.801272
2000-08-16	2.960926
2000-08-17	3.008602
2000-08-18	2.803256
2000-08-21	2.958205
2000-08-22	3.000476
2000-08-23	2.970702
2000-08-24	3.021340
2000-08-25	3.080585
2000-08-28	2.983180
2000-08-29	2.722238
2000-08-30	2.961515
2000-08-31	3.125945
2000-09-01	3.009264
2000-09-04	3.094728
2000-09-05	3.265351
2000-09-06	3.365626
2000-09-07	3.215611
2000-09-08	3.207000
2000-09-11	3.075882
2000-09-12	2.979792
2000-09-13	2.851569
2000-09-14	2.890535
2000-09-15	2.609503
2000-09-18	2.942735
2000-09-19	3.240348
2000-09-20	3.268523
2000-09-21	3.118732
2000-09-22	3.380095
2000-09-25	3.229039
2000-09-26	3.143478
2000-09-27	3.064959
2000-09-28	3.029730
2000-09-29	2.991287
2000-10-02	2.710021
2000-10-03	2.985408
2000-10-04	2.896550
2000-10-05	2.987202
2000-10-06	3.029614
2000-10-09	2.932818
2000-10-10	3.147484
2000-10-11	3.074480
2000-10-12	3.176886
2000-10-13	2.962432
