date	rate
2021-12-13	-0.703301
2021-12-14	-0.703490
2021-12-15	-0.703286
2021-12-16	-0.706216
2021-12-17	-0.707333
2021-12-20	-0.704973
2021-12-21	-0.702982
2021-12-22	-0.704224
2021-12-23	-0.704965
2021-12-24	-0.703450
2021-12-27	-0.703335
2021-12-28	-0.703774
2021-12-29	-0.703104
2021-12-30	-0.685636
2021-12-31	-0.684830
2022-01-03	-0.702072
2022-01-04	-0.704167
2022-01-05	-0.708718
2022-01-06	-0.709365
2022-01-07	-0.707630
2022-01-10	-0.710004
2022-01-11	-0.709619
2022-01-12	-0.709677
2022-01-13	-0.708242
2022-01-14	-0.709320
2022-01-17	-0.711491
2022-01-18	-0.711945
2022-01-19	-0.712008
2022-01-20	-0.711853
2022-01-21	-0.713036
2022-01-24	-0.712340
2022-01-25	-0.713136
2022-01-26	-0.712482
2022-01-27	-0.711974
2022-01-28	-0.712118
2022-01-31	-0.696923
2022-02-01	-0.710138
2022-02-02	-0.711321
2022-02-03	-0.712981
2022-02-04	-0.712908
2022-02-07	-0.713964
2022-02-08	-0.714349
2022-02-09	-0.715874
2022-02-10	-0.716083
2022-02-11	-0.716170
2022-02-14	-0.713401
2022-02-15	-0.716410
2022-02-16	-0.716320
2022-02-17	-0.716009
2022-02-18	-0.716572
2022-02-21	-0.716740
2022-02-22	-0.716355
2022-02-23	-0.717005
2022-02-24	-0.718465
2022-02-25	-0.716351
2022-02-28	-0.698075
2022-03-01	-0.712445
2022-03-02	-0.715363
2022-03-03	-0.717187
2022-03-04	-0.716227
2022-03-07	-0.716135
2022-03-08	-0.712995
2022-03-09	-0.714656
2022-03-10	-0.704382
2022-03-11	-0.708304
2022-03-14	-0.699052
2022-03-15	-0.697491
2022-03-16	-0.688875
2022-03-17	-0.681313
2022-03-18	-0.687430
2022-03-21	-0.691724
2022-03-22	-0.691818
2022-03-23	-0.692133
2022-03-24	-0.698258
2022-03-25	-0.700627
2022-03-28	-0.699483
2022-03-29	-0.700303
2022-03-30	-0.701874
2022-03-31	-0.701726
2022-04-01	-0.703300
2022-04-04	-0.706659
2022-04-05	-0.708468
2022-04-06	-0.707253
2022-04-07	-0.708562
2022-04-08	-0.708183
2022-04-11	-0.707956
2022-04-12	-0.707958
2022-04-13	-0.708040
2022-04-14	-0.709521
2022-04-19	-0.709118
2022-04-20	-0.708712
2022-04-21	-0.709692
2022-04-22	-0.708779
2022-04-25	-0.707494
2022-04-26	-0.708318
2022-04-27	-0.707814
2022-04-28	-0.707150
2022-04-29	-0.701592
2022-05-02	-0.701838
2022-05-03	-0.704452
2022-05-04	-0.706886
2022-05-05	-0.705288
2022-05-06	-0.707319
2022-05-09	-0.707970
2022-05-10	-0.709857
2022-05-11	-0.710185
2022-05-12	-0.709048
2022-05-13	-0.709220
2022-05-16	-0.709321
2022-05-17	-0.709033
2022-05-18	-0.710689
2022-05-19	-0.710857
2022-05-20	-0.709677
2022-05-23	-0.708531
2022-05-24	-0.709266
2022-05-25	-0.709319
